epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,15882,1.29705,1.0527,1.33856,0.67224,0.63216,0.65739,0.35105,1.70345,1.32383,1.65282,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16185.4,1.2872,1.03715,1.32778,0.68709,0.62289,0.65732,0.35448,1.70873,1.32081,1.65495,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16489.6,1.27955,1.02481,1.3219,0.67001,0.63672,0.65452,0.34716,1.71824,1.33521,1.66326,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16792.7,1.26191,1.00917,1.31511,0.68065,0.62625,0.65729,0.35471,1.70201,1.3298,1.655,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17097,1.2563,1.00593,1.31145,0.67662,0.63441,0.6551,0.35265,1.71496,1.33426,1.67395,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17400.9,1.24403,0.98263,1.30351,0.68794,0.63228,0.65984,0.35297,1.71067,1.32436,1.66533,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17703.9,1.22878,0.96751,1.2929,0.68472,0.63251,0.65839,0.35131,1.72063,1.33137,1.67511,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18007.2,1.22382,0.95954,1.28957,0.68598,0.62049,0.65325,0.35092,1.72384,1.33221,1.67315,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18310.3,1.21848,0.9463,1.28241,0.681,0.62316,0.65089,0.34938,1.72382,1.33236,1.68243,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18614.6,1.21198,0.93337,1.27928,0.69792,0.61751,0.6518,0.34973,1.72695,1.33118,1.68152,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18918.3,1.20212,0.93315,1.27716,0.69021,0.62443,0.65241,0.34698,1.73632,1.33146,1.68685,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19220.5,1.18866,0.91178,1.26551,0.68543,0.62585,0.64937,0.34596,1.73756,1.34213,1.69234,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19523.3,1.18168,0.9115,1.26176,0.67665,0.63218,0.65393,0.34948,1.74116,1.33784,1.70257,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19826,1.17138,0.87874,1.24799,0.68142,0.61774,0.64949,0.34947,1.74571,1.34748,1.70887,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20128.5,1.16527,0.87375,1.2507,0.66359,0.6327,0.64698,0.34836,1.75676,1.35533,1.72714,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20431.4,1.15143,0.86494,1.24313,0.68726,0.62298,0.65004,0.34666,1.75264,1.35168,1.71929,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,331.051,1.13659,0.84248,1.22959,0.69247,0.61759,0.64802,0.34659,1.75817,1.36585,1.72538,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,676.962,1.12965,0.84232,1.22774,0.7006,0.60857,0.64398,0.34301,1.76217,1.3701,1.73342,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1022.04,1.12048,0.83649,1.22155,0.68213,0.62197,0.63999,0.34117,1.75985,1.37442,1.73716,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1368.01,1.11234,0.82502,1.21765,0.68215,0.61813,0.63978,0.34147,1.76081,1.37176,1.73871,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1714.46,1.1037,0.81788,1.21295,0.68352,0.61644,0.64174,0.34093,1.76683,1.37361,1.75055,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2058.19,1.09656,0.80598,1.20705,0.69986,0.60504,0.64465,0.34308,1.77146,1.37969,1.75591,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2402.41,1.08025,0.79703,1.20024,0.69412,0.61028,0.64537,0.34127,1.77578,1.38639,1.7542,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2747.61,1.07512,0.78818,1.19176,0.6991,0.6138,0.64782,0.34146,1.7814,1.39238,1.76306,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3093.55,1.07041,0.77781,1.19185,0.69939,0.61245,0.64452,0.34183,1.78307,1.39195,1.77224,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3438.93,1.0561,0.76954,1.18176,0.68096,0.62527,0.64657,0.34311,1.78125,1.39449,1.77467,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3785.01,1.04394,0.75512,1.1754,0.71237,0.59961,0.64473,0.34178,1.77802,1.39364,1.7737,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4131.74,1.03496,0.75073,1.17316,0.69131,0.61361,0.6417,0.3387,1.78425,1.40849,1.78111,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4477.09,1.02583,0.73959,1.16549,0.68563,0.62545,0.64195,0.33653,1.78914,1.40637,1.78528,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4822.95,1.02471,0.73113,1.16187,0.68948,0.62366,0.64043,0.33721,1.79455,1.40728,1.79789,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5168.54,1.01201,0.72717,1.15738,0.70586,0.60805,0.63769,0.33661,1.79708,1.41728,1.80517,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5514.54,1.00054,0.72311,1.15591,0.69512,0.61446,0.63894,0.33687,1.79617,1.42062,1.80795,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5860.89,0.99387,0.71611,1.15,0.71604,0.60176,0.63723,0.3369,1.7878,1.41329,1.80446,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6207.59,0.98238,0.70151,1.14135,0.67765,0.62373,0.63198,0.33414,1.79097,1.42841,1.81069,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6552.05,0.96875,0.69506,1.13564,0.69942,0.60785,0.63067,0.33234,1.79387,1.4323,1.81787,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,322.261,0.88119,0.61569,1.08944,0.70611,0.60417,0.62846,0.33127,1.79792,1.44676,1.83302,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,654.474,0.8694,0.60835,1.08405,0.70726,0.60289,0.62705,0.32961,1.80447,1.46307,1.84938,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,986.729,0.86119,0.60529,1.07906,0.69295,0.61028,0.62345,0.32784,1.80735,1.47183,1.86255,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1318.12,0.85343,0.59995,1.07636,0.69186,0.60529,0.62128,0.32582,1.80902,1.47968,1.8728,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,1647.34,0.90484,0.55628,1.12178,0.71501,0.5874,0.622,0.32733,1.80527,1.46997,1.86346,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,1976.87,0.8794,0.53684,1.1044,0.70823,0.59161,0.62187,0.32788,1.80763,1.46844,1.85774,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2305.31,0.86071,0.52137,1.09246,0.67852,0.61466,0.62352,0.32866,1.80825,1.46908,1.85358,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2633.77,0.85417,0.51708,1.09001,0.68013,0.61531,0.62394,0.32904,1.81201,1.46942,1.85783,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2962.92,0.83455,0.50177,1.07717,0.6777,0.61353,0.62317,0.32802,1.81535,1.47613,1.8646,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3292.18,0.81863,0.49021,1.07272,0.69486,0.60478,0.62314,0.3267,1.81722,1.48397,1.87174,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3621.6,0.82048,0.49566,1.07371,0.69147,0.60347,0.62116,0.32578,1.81741,1.49036,1.87569,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3950.88,0.80392,0.4816,1.06162,0.69364,0.60009,0.6193,0.32438,1.81972,1.4929,1.88023,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4280.8,0.79873,0.47675,1.06117,0.68834,0.60419,0.61849,0.32462,1.81972,1.4965,1.88172,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4610.06,0.79475,0.47274,1.05468,0.67419,0.61266,0.61836,0.32455,1.82031,1.49765,1.88547,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
